Web Search interest: donald trump
United States 2004 - present

Interest over time
Week,donald trump
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for donald trump
City,donald trump
Detroit,100
Orlando,75
New York,72
Houston,71
Dallas,71
Washington,69
Los Angeles,62
Chicago,60
Atlanta,60
Miami,59
Nashville,57
Charlotte,57
San Francisco,56
Phoenix,54
San Antonio,54



Top searches for donald trump
donald trump worth,100
donald trump president,95
twitter donald trump,55
trump for president,55
trump news,55
donald trump news,55
donald trump obama,50
mac miller,45
donald trump wife,45
donald trump lyrics,40
donald trump polls,35
hillary clinton,35
donald trump debate,30
donald trump 2016,30
bernie sanders,25
donald trump roast,25
donald trump announcement,25
donald trump facebook,25
donald trump hair,25
ivanka trump,20
donald trump quotes,20
donald trump jr,20
melania trump,20
bill gates,20
donald trump speech,20
donald trump apprentice,20
ben carson,20
donald trump young,20
donald trump house,15
donald trump daughter,15
donald trump age,15
el chapo,15
snl donald trump,15
donald trump college,15
jeb bush,15
donald trump poll,15
ted cruz,15
donald trump interview,15
donald trump meme,15
donald trump wiki,15
funny donald trump,15
donald trump campaign,15
donald trump immigration,10
donald trump kids,10
donald trump family,10
ivana trump,10
donald trump mexico,10
donald trump bankruptcy,10
donald trump racist,10
donald trump song,10



Rising searches for donald trump
donald trump obama,Breakout
donald trump polls,Breakout
donald trump president,Breakout
mac miller,Breakout
trump for president,Breakout
twitter donald trump,Breakout
donald trump news,+400%
trump news,+350%
donald trump lyrics,+300%
donald trump worth,+250%



